,a,b,c,d,e,f,g
0,0.0021599441996986712,0.0022773124260722644,0.8863003247823489,0.9996752571914156,0.7394930157115793,0.7307445205456526,0.07521504474205294
1,0.0024633063085934825,0.004422829649462112,0.751109943067644,0.9969346458239285,0.9914056543443128,0.8684667813761731,0.07776530660268563
2,0.0026746772446171185,0.004908337230119519,0.9657406914793423,0.9955058395725099,0.8333614822735558,0.7845648222190644,0.07498028848331745
3,0.002770614154657569,0.0051047598335101085,0.7754242474976409,0.9947048016883261,0.5057123611511489,0.5399288748048736,0.07193325541574658
4,0.0033625696675945727,0.005729038128958641,0.9934919782721515,0.9940841963994509,0.8251211876039779,0.6758842297813061,0.07480094474678584
5,0.006900819834268046,0.006392968292682322,0.8228189671604609,0.9935146585133086,0.8431628055226499,0.7327541608477762,0.07294819118743562
6,0.010101612156264872,0.0085849036114371,0.9755454557916506,0.9904937481115221,0.5841542626555585,0.5442159634093455,0.06808288391719153
7,0.010530605404113602,0.009284842344764621,0.6558563748584474,0.9904445952233545,0.8208604059007402,0.5173657209897582,0.07117625582870833
8,0.011224299291379747,0.0104170142450708,0.9129672297105764,0.9898686822780545,0.6951543691692865,0.5520725422005023,0.068319595880403
9,0.012383187124431982,0.011601028109451905,0.7520007570470307,0.9897217308864398,0.9200297529619879,0.5196547354920512,0.07127264642970894
10,0.015017074176109146,0.011997845644754757,0.5450391867555079,0.9894222664183467,0.504110201642491,0.6215758086623264,0.06336422110469797
11,0.015694321674918077,0.01277013113556541,0.5419035269788808,0.989070420034232,0.9964660441453916,0.89315388826884,0.06861245394983319
12,0.01644745759459315,0.013223478831551616,0.5824318025259241,0.9878620284775846,0.966589591280161,0.5816355812774172,0.0692770184268081
13,0.01774396789003374,0.01570673604542472,0.7575967049642834,0.9877239292365325,0.8032577517433379,0.937422962520839,0.06295458255261557
14,0.018074793333255623,0.022492210527943424,0.872456051772848,0.9848016751439559,0.6718579764305134,0.8005129339758807,0.0592005101422526
15,0.020511350733271982,0.023791930031833552,0.7910154480481507,0.9839847860398384,0.9920528720836217,0.7652770789375118,0.06317404830672685
16,0.020885074527048686,0.02418486871394049,0.7550581784011987,0.9838171113012801,0.8449468809795424,0.7947764230015406,0.06000110703615804
17,0.022526949003574326,0.02430144889260233,0.8047011790864713,0.9837934881527266,0.5900206336374121,0.892382833138178,0.05504979964549089
18,0.023781859659051496,0.02453215321285629,0.5418706524154218,0.9830502719250355,0.6109133991330533,0.6625084752054958,0.05592240392765233
19,0.025466832339297196,0.025613231779767764,0.5212023216652713,0.9825818185364795,0.8599916942627752,0.9771839886705762,0.05671550052663901
20,0.02553363063370745,0.027382224601427085,0.6405493921455878,0.9794331395046685,0.8982010281670748,0.7099400931323986,0.05799939839527027
21,0.025534598035934386,0.027826159003514706,0.6646529092248412,0.9781102914151609,0.7289035960288307,0.6822696242913474,0.05516227241328285
22,0.02851186120322058,0.02864731053362901,0.8213618635233542,0.9779506039052599,0.7896850222022207,0.9458777466767851,0.05303408971363089
23,0.02929027173175114,0.02924486551512201,0.8779956606078708,0.9750197931528228,0.9462792938247624,0.6896297452985996,0.05640555705217455
24,0.029310413997685247,0.030274410698917675,0.8218269314124604,0.9740727040763665,0.6134823923051551,0.6302069105394799,0.05116647196008366
25,0.03027573164960856,0.03027613030396553,0.7618678058087929,0.9738979032714083,0.8501433300468084,0.5639407157209992,0.0546199868256189
26,0.03389463642593765,0.03087261616481446,0.7226156399728505,0.9730598722155275,0.9977202091949134,0.764999754418842,0.05425994229707461
27,0.03428365948649703,0.034795051643875086,0.8236004346242254,0.9730150131018749,0.7755487206858296,0.8069011123501781,0.04865396506992706
28,0.03553238788834423,0.035611859031168536,0.9012566720694409,0.9724895191066294,0.6321161634355753,0.5658062913798613,0.04724281476089004
29,0.03562893098589298,0.035744452577425145,0.6590443300719641,0.9723559735490586,0.7036193241829053,0.9724339989393442,0.045763118141673026
30,0.036132056954380154,0.03576074317747091,0.940210649749625,0.9699164107995671,0.5917480287471275,0.6657930911850627,0.04559381276229336
31,0.03634347603324983,0.04059398162085015,0.6612365639144341,0.9689119586069577,0.7999655051262697,0.5061278340745653,0.04781693502020849
32,0.03639452307077001,0.04114952761151275,0.907475644187762,0.9685542962086329,0.8565758650331621,0.522304384447548,0.04841306391577875
33,0.037288420258118626,0.04131406467530735,0.9823790669241377,0.968153670772065,0.9405406886832666,0.8629917262134446,0.047381321124558035
34,0.03915086917724098,0.045028327560028336,0.9786590875097699,0.9679807525605646,0.717449264121798,0.7766792338239037,0.042137406736194837
35,0.039713538141606886,0.047122048539095795,0.5909963589609959,0.9676387288554914,0.518449959832421,0.8656780596800628,0.03824180742591926
36,0.03993571001914048,0.04782978184751713,0.7134922444719789,0.9663169267184855,0.5221327824415929,0.8768828845126564,0.03779013546337364
37,0.04134976659195694,0.050208387695082624,0.6003299236580191,0.9610876709971636,0.980570923977319,0.5328208385567161,0.044942167908186545
38,0.04160063620393034,0.0516307265352432,0.9404704665967195,0.9608091510293035,0.7265702970323664,0.5846363034775505,0.03967151228443881
39,0.04225227388288466,0.05269070900705175,0.5089210703752141,0.9574119062697742,0.8975182091470649,0.9942724995763814,0.03922499309365721
40,0.04653074251326622,0.056600244915095466,0.5109118663755938,0.9571141873141092,0.5875102651820137,0.7495716667357095,0.03277743232200134
41,0.047925239758272786,0.05693517433024431,0.92408195610089,0.9564186884261277,0.7953211080938336,0.9274974076223552,0.033901823761402466
42,0.048155998248920695,0.05767869743428006,0.5985888093308689,0.95520874970632,0.5477061373633774,0.8342038278018509,0.03063722175522516
43,0.048755749542685134,0.05987701290026348,0.7667095972451661,0.9529773934057304,0.8470316715785253,0.7301577639757373,0.03425471713288724
44,0.049133790193906846,0.05991141644394349,0.9510121600339698,0.9523071955438949,0.7574433103997003,0.5536917949463567,0.033690211445436
45,0.04933449436381204,0.06135621024084825,0.7862925875971161,0.9483082253886383,0.7731442804288472,0.6497738610649775,0.03244015884538327
46,0.049828356926965245,0.06325852790173109,0.7208135058568943,0.9462925152463618,0.9652697772736358,0.6555280706006821,0.03475718387057367
47,0.05085306698118275,0.06343053040146601,0.6667057196937622,0.9457510057445657,0.6320302250518588,0.7413552833881403,0.028371384224945048
48,0.05172653045503117,0.06557701838166308,0.6154702316179725,0.9454207068524393,0.9794039484092412,0.767943000921558,0.03271842249840753
49,0.05230286170670789,0.06754142202646052,0.8587640067482636,0.9450684136462191,0.5509683129003234,0.6161132931418234,0.026165331251379577
50,0.05320150486129033,0.06780802707877243,0.6910748013689321,0.9426931439116203,0.564720323706661,0.9708476472433744,0.02364415100985065
51,0.053317407520725835,0.06971097406484456,0.7845068545789622,0.9425355948224989,0.6709147303206621,0.8959514914890396,0.024671470912391684
52,0.056977415192222214,0.07009041855699472,0.586587422766726,0.9415955223832713,0.9305368605843387,0.6868117140756328,0.028200223240645465
53,0.05721812750523908,0.07305167972429294,0.9421420408482709,0.9408270285381037,0.6011624608478456,0.8368521030408873,0.021179649627542173
54,0.058092652403787415,0.07375063372482532,0.503248832068609,0.9404282260525201,0.6742781153910851,0.7122250876266574,0.022180455092946277
55,0.060118945735919804,0.07376665562556961,0.5059290749412986,0.9395753446271209,0.9118904235016866,0.5213860937314199,0.026203096105237026
56,0.06086013998347495,0.07609170380702945,0.8896425690168299,0.9395286798994382,0.8376400585333235,0.6610200854274916,0.022920582085123275
57,0.06134019022118137,0.0764030249267269,0.8214806797039274,0.9376869510721285,0.6107741437213212,0.9137107517779662,0.01774793310735406
58,0.06163105984161682,0.07943657121812658,0.7155378993144579,0.9366578450471412,0.5716913018090646,0.7599967782426058,0.016945788520284978
59,0.062229706854607714,0.0795516813569151,0.689864490746027,0.9364648183879809,0.6224494280549604,0.5248468179639523,0.018709378086153857
60,0.06290249345336446,0.07978772902810877,0.8185382204271503,0.9364310847187368,0.9160010522980853,0.9933750906052106,0.020129075238373453
61,0.0635897064005232,0.07989084388541828,0.6069346766161026,0.9359969352601345,0.7826359056147859,0.8091443744399772,0.018465158300125472
62,0.06429878575646159,0.0802081871841111,0.5620812988254567,0.9328848748169032,0.6915821984445285,0.9731203919131098,0.015590877253624411
63,0.06447197800746457,0.08105339212080387,0.6146198906242464,0.9316076955959676,0.9847516562104366,0.8723544510398172,0.02058122638190948
64,0.06491755033938362,0.0816767363118523,0.9359038983714678,0.9308950716227087,0.8925415891977322,0.848389730967229,0.01852682543774372
65,0.06507565545934174,0.08215928802935235,0.5396226123891354,0.9304501346947887,0.8945454064499037,0.6757510829949636,0.019293457008798986
66,0.06575155812185934,0.08342007240223887,0.6944205092145894,0.9277590564597584,0.6092017992705674,0.5329128967909336,0.015006795763141057
67,0.0683588188164298,0.08473526860133312,0.9315015930725257,0.9276050460713815,0.7287366571776568,0.7187833189922034,0.013847699627874655
68,0.06934646811897222,0.08649839607098675,0.9841348748508096,0.926483732511594,0.5633865780331426,0.9820423147100319,0.009191005433962805
69,0.0727375035673185,0.08702503700829872,0.969623713441987,0.9254916107596061,0.9742331314951962,0.9529004743390457,0.013916455268970552
70,0.07541179698375561,0.08717613452078493,0.7755801184803813,0.9249213680985725,0.6227437667046836,0.7728150334893555,0.008003263822227597
71,0.07955040372663835,0.0878103218013061,0.6088456514091078,0.9236160476381989,0.5354163763707482,0.5242640097178424,0.0064139023793686216
72,0.08037138146035772,0.08839071633180712,0.866712790675518,0.9224625046690111,0.7221280862888939,0.505692674318468,0.008252045863649348
73,0.08129312245797898,0.08930041723597859,0.6071727424440398,0.9207619347871798,0.7671355271065708,0.5887677743527733,0.007527696105762554
74,0.08191882857841737,0.08983317397381835,0.9514026838394062,0.9194253491334992,0.8983408720978463,0.8841947728555251,0.007430127756177355
75,0.08290708503476518,0.0901173029400979,0.640249295899977,0.9156337003062098,0.7265526154007431,0.9083670689501606,0.0036819994109786093
